"","id","user_id","user_login","user_name","game_id","game_name","type","title","viewer_count","started_at","language","thumbnail_url","tag_ids","is_mature"
"1","47297180637","48389176","asunaweeb","AsunaWEEB","516575","VALORANT","live","100T Asuna | 10 MANS W/ BEST GAMEPLAY OF HARBOR CHESS HANS NIEMANN 3k ELO MAGNUS CARLSEN | !duo","9431","2022-10-13T13:08:39Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_asunaweeb-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"2","46173543340","39393054","scream","ScreaM","516575","VALORANT","live","Finally a new agent -  Follow my !social","8080","2022-10-13T17:33:40Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_scream-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","TRUE"
"3","47297615773","177730578","odablock","Odablock","516575","VALORANT","live","G1 ODABLOCK RADIANT 54 RS LATER?| @Odablock On all socials !socials !merch","1989","2022-10-13T16:30:12Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_odablock-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"4","40342881897","540056482","shanks_ttv","shanks_ttv","516575","VALORANT","live","FaZe Shanks | RADIANT RANKED | HARBOR WOOO | GIGACHAD","1787","2022-10-13T16:42:46Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_shanks_ttv-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"", ""c2839af5-f1d2-46c4-8edc-1d0bfbd85070"")","TRUE"
"5","47294773949","119015407","dashy","Dashy","516575","VALORANT","live","cmon now @dashyszn !socials","1543","2022-10-12T23:44:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_dashy-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"6","41385973899","66983298","benjyfishy","benjyfishy","516575","VALORANT","live","HARBOR 10 MANS !twitter","1521","2022-10-13T18:33:38Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_benjyfishy-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"7","41385615739","44558619","ethos","ethos","516575","VALORANT","live","*NEW* Agent HARBOR Gameplay // NRG ethos","1439","2022-10-13T15:01:31Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_ethos-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"8","46172906172","609288258","flowascending","FlowAscending","516575","VALORANT","live","HARBOR EARLY ACCESS GAMEPLAY RIGHT NOW! | !ValorantTracker","1250","2022-10-13T14:57:36Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_flowascending-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"9","47297330285","28209837","tiffae","Tiffae","516575","VALORANT","live","Harbor Gameplay !Doritos #ad","919","2022-10-13T14:33:39Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_tiffae-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
"10","41385708443","421560387","itsryanhiga","itsRyanHiga","516575","VALORANT","live","last day of long hair","901","2022-10-13T15:59:57Z","en","https://static-cdn.jtvnw.net/previews-ttv/live_user_itsryanhiga-{width}x{height}.jpg","list(""6ea6bca4-4712-4ab9-a906-e3336a9d8039"")","FALSE"
